USB Slots
Direct Current (DC) Port
Power Button
Backup Battery Port
Manual Transmission Device
Voters Information Unit
Use Indicator
LCD Screen
Cast Button
Return Button
Ballot Entry Slot
iButton Receptacle
Thermal Paper Compartment
Headphones Plug
Ballot Diversion Slot
Ballot Exit Slot
Speaker
Ethernet Port
Main Data SD Card Slot
Backup Data SD Card Slot
iButton
Storage Device (SD) cards
Thermal Paper
Backup Battery
Headphones
Cleaning sheet
Ballot Box
Top cover
Inner Bin
Backup Battery cable
VCM Adaptor
Power Cord
Universal Serial Bus Modem
Broadband Global Area Network
ISAVVI
